ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,4063.T,4063.T,71.7,90,36,84,🏛️ 買い（政策恩恵）,5750.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / 出来高急増
2,7013.T,7013.T,69.9,79,36,90,👀 監視・買い検討,4384.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
3,4062.T,4062.T,67.8,73,36,90,👀 監視・買い検討,9157.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
4,8035.T,8035.T,67.8,79,36,84,👀 監視・買い検討,43960.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
5,5444.T,5444.T,67.1,85,36,76,👀 監視・買い検討,12755.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
6,6952.T,6952.T,65.8,67,36,90,👀 監視・買い検討,1604.5,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
7,7047.T,7047.T,65.0,83,36,72,👀 監視・買い検討,2513.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
8,7685.T,7685.T,65.0,83,36,72,👀 監視・買い検討,6200.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
9,1801.T,1801.T,65.0,79,36,76,👀 監視・買い検討,18795.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / 出来高急増
10,7011.T,7011.T,64.7,64,36,90,👀 監視・買い検討,4965.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
11,7012.T,7012.T,64.3,63,36,90,👀 監視・買い検討,17915.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
12,6503.T,6503.T,64.3,79,36,74,👀 監視・買い検討,5850.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中 / 出来高急増
13,5713.T,5713.T,64.0,80,36,72,👀 監視・買い検討,10010.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
14,9348.T,9348.T,64.0,80,36,72,👀 監視・買い検討,601.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
15,9338.T,9338.T,63.6,79,36,72,👀 監視・買い検討,4545.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
16,4523.T,4523.T,63.6,67,36,84,👀 監視・買い検討,5114.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / 出来高急増
17,6146.T,6146.T,63.6,67,36,84,👀 監視・買い検討,74060.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
18,5254.T,5254.T,63.6,79,36,72,👀 監視・買い検討,4040.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
19,5706.T,5706.T,63.6,79,36,72,👀 監視・買い検討,31290.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
20,6196.T,6196.T,63.6,79,36,72,👀 監視・買い検討,4360.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
21,3436.T,3436.T,63.3,78,36,72,👀 監視・買い検討,1614.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
22,3479.T,3479.T,63.3,78,36,72,👀 監視・買い検討,2370.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
23,7033.T,7033.T,63.3,78,36,72,👀 監視・買い検討,1382.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
24,6857.T,6857.T,62.9,65,36,84,👀 監視・買い検討,25475.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
