ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,信用倍率,政策セクター,コメント
1,7013.T,7013.T,71.3,83,36,90,🏛️ 買い（政策恩恵）,4384.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
2,4274.T,4274.T,69.6,78,36,90,👀 監視・買い検討,1542.0,,,,defense,政策重点（defense） / GC形成中 / 出来高急増 / 75日MA上
3,8035.T,8035.T,69.2,83,36,84,👀 監視・買い検討,43960.0,,,,semiconductor,政策重点（semiconductor） / GC形成中 / 75日MA上
4,6503.T,6503.T,68.9,76,36,90,👀 監視・買い検討,5850.0,,,,"defense, green_energy","政策重点（defense, green_energy） / GC形成中 / 75日MA上"
5,7721.T,7721.T,68.9,76,36,90,👀 監視・買い検討,8780.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
6,4275.T,4275.T,68.9,76,36,90,👀 監視・買い検討,2669.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
7,7980.T,7980.T,67.8,73,36,90,👀 監視・買い検討,918.0,,,,defense,政策重点（defense） / GC形成中 / 出来高急増 / 75日MA上
8,4063.T,4063.T,67.5,78,36,84,👀 監視・買い検討,5750.0,,,,"semiconductor, rare_earth","政策重点（semiconductor, rare_earth） / GC形成中 / 75日MA上"
9,6203.T,6203.T,67.1,71,36,90,👀 監視・買い検討,2000.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
10,6208.T,6208.T,67.1,71,36,90,👀 監視・買い検討,2899.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
11,7011.T,7011.T,66.8,70,36,90,👀 監視・買い検討,4965.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
12,5444.T,5444.T,66.4,83,36,76,👀 監視・買い検討,12755.0,,,,infrastructure,政策重点（infrastructure） / GC形成中 / 75日MA上
13,4062.T,4062.T,66.1,68,36,90,👀 監視・買い検討,9157.0,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
14,9719.T,9719.T,66.1,80,36,78,👀 監視・買い検討,5670.0,,,,ai_digital,政策重点（ai_digital） / GC形成中 / 75日MA上
15,6952.T,6952.T,66.1,68,36,90,👀 監視・買い検討,1604.5,,,,defense,政策重点（defense） / GC形成中 / 75日MA上
16,7033.T,7033.T,65.8,85,36,72,👀 監視・買い検討,1382.0,,,,startup_growth,政策重点（startup_growth） / 出来高急増 / 75日MA上
17,3436.T,3436.T,65.4,84,36,72,👀 監視・買い検討,1614.0,,,,rare_earth,政策重点（rare_earth） / GC形成中 / 75日MA上
18,5541.T,5541.T,65.0,83,36,72,👀 監視・買い検討,3090.0,,,,rare_earth,政策重点（rare_earth） / GC形成中 / 75日MA上
19,7047.T,7047.T,65.0,83,36,72,👀 監視・買い検討,2513.0,,,,startup_growth,政策重点（startup_growth） / GC形成中 / 出来高急増 / 75日MA上
20,9348.T,9348.T,65.0,83,36,72,👀 監視・買い検討,601.0,,,,startup_growth,政策重点（startup_growth） / GC形成中 / 75日MA上
21,5713.T,5713.T,65.0,83,36,72,👀 監視・買い検討,10010.0,,,,rare_earth,政策重点（rare_earth） / GC形成中 / 75日MA上
22,1811.T,1811.T,64.7,78,36,76,👀 監視・買い検討,9180.0,,,,infrastructure,政策重点（infrastructure） / GC形成中 / 75日MA上
23,1801.T,1801.T,64.0,76,36,76,👀 監視・買い検討,18795.0,,,,infrastructure,政策重点（infrastructure） / GC形成中 / 75日MA上
24,1812.T,1812.T,63.6,75,36,76,👀 監視・買い検討,7085.0,,,,infrastructure,政策重点（infrastructure） / GC形成中 / 75日MA上
