ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,5706.T,三井金属鉱業,72.2,70,75,72,🏛️ 買い（政策恩恵）,31580.0,4.9,0.01,0.21253860407659048,2.98,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
2,7721.T,東京計器,70.8,88,45,90,🏛️ 買い（政策恩恵）,8570.0,16.37,0.0,0.02958765146059676,4.69,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
3,6203.T,豊和工業,70.2,76,57,90,🏛️ 買い（政策恩恵）,1744.0,11.1,0.01,0.06007198709196972,6.5,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(6.5倍) / ⚠ペナルティ1件
4,4274.T,細谷火工,68.5,67,45,90,👀 監視・買い検討,1546.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
5,9519.T,レノバ,67.3,83,58,74,👀 監視・買い検討,782.0,24.9,0.19,0.7544584316810911,16.5,"green_energy, startup_growth",政策(green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(16.5倍) / ⚠ペナルティ1件
6,6920.T,レーザーテック,66.9,76,53,84,👀 監視・買い検討,37550.0,101.1,0.35,0.34880771182141046,5.28,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.3倍) / ⚠ペナルティ1件
7,7980.T,重松製作所,66.8,62,62,90,👀 監視・買い検討,1020.0,11.2,0.01,0.11586189247752711,803.25,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(803.2倍) / ⚠ペナルティ1件
8,4275.T,カーリットHD,66.6,70,52,90,👀 監視・買い検討,2775.0,14.1,0.01,0.042481968457742346,3.52,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
9,5801.T,古河電気工業,66.6,78,47,72,👀 監視・買い検討,30690.0,20.93,0.01,0.03427065628598059,2.27,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
10,4063.T,信越化学工業,66.0,76,50,84,👀 監視・買い検討,6531.0,26.3,0.03,0.10175620317845234,5.21,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.2倍) / ⚠ペナルティ1件"
11,7685.T,BuySell Technologies,65.5,73,49,72,👀 監視・買い検討,6660.0,72.1,0.13,0.1740005296510793,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
12,9211.T,エフ・コード,65.3,86,50,72,👀 監視・買い検討,1600.0,,,0.7148518688131892,2974.67,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(2974.7倍) / ⚠ペナルティ1件
13,5802.T,住友電気工業,65.1,88,47,72,👀 監視・買い検討,10390.0,22.9,0.01,0.029772164526823165,6.63,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(6.6倍) / ⚠ペナルティ1件
14,6758.T,ソニーグループ,63.4,55,66,84,👀 監視・買い検討,3458.0,13.9,0.02,0.15412531961307974,37.39,semiconductor,🏛️政策主力(semiconductor) / 割安 / ⚠信用過熱(37.4倍) / ⚠ペナルティ1件
15,4578.T,大塚ホールディングス,63.2,76,52,60,👀 監視・買い検討,11005.0,16.2,0.01,0.07997138808286659,1.31,medical,GC形成中 / 75日MA上
16,5019.T,出光興産,63.0,88,40,72,👀 監視・買い検討,1462.0,24.3,0.01,0.02873752403023201,9.84,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(9.8倍) / ⚠ペナルティ1件
17,6952.T,カシオ計算機,62.5,50,45,90,👀 監視・買い検討,1418.0,42.1,0.02,0.056697892824276175,1.63,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
18,6544.T,ジャパンエレベーターサービスHD,62.1,60,53,72,👀 監視・買い検討,1756.0,86.5,0.19,0.2248453117563065,1.84,startup_growth,政策(startup_growth) / 75日MA上
19,7157.T,ライフネット生命保険,62.0,75,35,72,👀 監視・買い検討,2185.0,,,-0.19701379223079843,1.71,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
20,6208.T,石川製作所,61.7,62,45,90,👀 監視・買い検討,2517.0,91.3,0.03,0.03218271476771347,3.38,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.4倍) / ⚠ペナルティ1件
21,7047.T,ポート,61.2,83,40,72,👀 監視・買い検討,2385.0,53.4,0.04,0.0791295746785361,377.67,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(377.7倍) / ⚠ペナルティ1件
22,6503.T,三菱電機,61.0,54,52,90,👀 監視・買い検討,5456.0,18.7,0.01,0.06727905661895674,16.2,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(16.2倍) / ⚠ペナルティ1件"
23,4062.T,イビデン,60.4,44,45,90,👀 監視・買い検討,7854.0,27.67,0.02,0.07984142321422469,1.26,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
24,6701.T,NEC,60.1,43,62,90,👀 監視・買い検討,4257.0,11.7,0.01,0.11436447321448365,28.24,"defense, ai_digital","🏛️政策主力(defense, ai_digital) / 割安 / ⚠信用過熱(28.2倍) / ⚠ペナルティ1件"
25,4071.T,4071.T,60.0,54,53,72,👀 監視・買い検討,2184.0,80.4,0.23,0.29115537468662256,2.41,startup_growth,政策(startup_growth)
26,7164.T,全国保証,59.5,37,66,68,⏸️ 様子見,3150.0,12.9,0.02,0.1627999517665501,0.48,finance,GC形成中 / 75日MA上 / 割安 / 信用良好(0.5倍) / ⚠ペナルティ1件
27,1802.T,大林組,58.8,49,67,76,⏸️ 様子見,3870.0,7.4,0.01,0.10268415422789895,11.23,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(11.2倍) / ⚠ペナルティ1件
28,4431.T,スマレジ,58.8,54,49,72,⏸️ 様子見,2446.0,100.5,0.16,0.15881981117501018,1.32,startup_growth,政策(startup_growth)
